,Unnamed: 0,user_name,user_location,user_description,user_verified,date,text,hashtags,source
26,26,JazzNation,"Salt Lake City, UT","Tweets are all about Utah Jazz news, scores, & updates | Fan ran account | All our links can be found in one spot ➡️ https://t.co/Lmt6CjXroU",False,2022-10-08 15:17:57+00:00,"I think I may have put wrong link
Here is the correct link to stream the event when it starts at 11am MT

Link 👉 https://t.co/oFqhMT4YDY

#JazzNation #UtahJazz #TakeNote https://t.co/TbATWEIxdr",,Twitter for iPhone
27,27,JazzNation,"Salt Lake City, UT","Tweets are all about Utah Jazz news, scores, & updates | Fan ran account | All our links can be found in one spot ➡️ https://t.co/Lmt6CjXroU",False,2022-10-08 14:26:08+00:00,"The FREE open scrimmage event is happening today at the @vivintarena 
Doors open at 10:30am
Scrimmage starts at 11am 🏀 

If you are unable to attend the event, you can watch it online 
LINK 👉 https://t.co/G8p43H3KAe

.
.
#JazzNation #UtahJazz #TakeNote #GoJazz #NBA https://t.co/1xeHsTJuU9",,Twitter for iPhone
28,28,Love NBA,,NAB Fanbase,False,2022-10-08 12:14:02+00:00,"Us vs Spurs fans at the moment.
 
https://t.co/EII50ztO9G
 
#NorthwestDivision #UtahJazz #WesternConference https://t.co/Jqk3eOoIgK","['NorthwestDivision', 'UtahJazz', 'WesternConference']",love.nba
29,29,Josh Emerson,,"I almost exclusively tweet about the Utah Jazz. Also, Stop Bullying. Be Kind. Love One Another. #doitfordrayke #takenote",False,2022-10-08 02:42:05+00:00,"So the Jazz draft Wembanyana and then Rudy comes back to win a chip with him in Utah.

My dreams are coming true.

#Rudy #Wembanyana #UtahJazz https://t.co/aAVcfud4lf",,Twitter Web App
30,30,JazzNation,"Salt Lake City, UT","Tweets are all about Utah Jazz news, scores, & updates | Fan ran account | All our links can be found in one spot ➡️ https://t.co/Lmt6CjXroU",False,2022-10-08 01:20:21+00:00,"Walker Kessler spoke with local media following todays Jazz practice 

🎥 https://t.co/p5w9g0Hgv1

.
#JazzNation #UtahJazz #TakeNote
#GoJazz #NBA https://t.co/moUwYvZbPR",['JazzNation'],Twitter for iPhone
31,31,JazzNation,"Salt Lake City, UT","Tweets are all about Utah Jazz news, scores, & updates | Fan ran account | All our links can be found in one spot ➡️ https://t.co/Lmt6CjXroU",False,2022-10-08 01:11:45+00:00,"Stanley Johnson spoke with local media following todays Jazz practice 

🎥 https://t.co/eDMntzKIdv

.
#JazzNation #UtahJazz #TakeNote
#GoJazz #NBA https://t.co/1lt1p7oRDp",['JazzNation'],Twitter for iPhone
32,32,Radek Grabowski,,Graphic Designer for @PremierSportsTV | @BasketballCl | 🇧🇷🇵🇱🇬🇧🇺🇸,False,2022-10-08 01:00:08+00:00,"Let’s talk about Jazz Culture 🏀😉

#Wenbanyama #jazznation #Utah #utahjazz #SLC #NBA #NBADraft #smsports #Victor #Wemby 

@utahjazz x @NBADraft x @NBA x @vicw_32 https://t.co/P6Yr6gK5XY","['Wenbanyama', 'jazznation', 'Utah', 'utahjazz', 'SLC', 'NBA', 'NBADraft', 'smsports', 'Victor']",Twitter for iPhone
33,33,JazzNation,"Salt Lake City, UT","Tweets are all about Utah Jazz news, scores, & updates | Fan ran account | All our links can be found in one spot ➡️ https://t.co/Lmt6CjXroU",False,2022-10-08 00:01:50+00:00,"16 pairs of DON’s + autographed Donovan Mitchell Utah Jazz rookie card

all these items for one lucky winner
find all the info on our Instagram page 👉 https://t.co/mHNccM1rRu

.
#JazzNation #UtahJazz #TakeNote
#GoJazz https://t.co/so4DguJoPK",,Twitter for iPhone
34,34,JWAC,,Twitter Page for my YouTube JWAC ! Like subscribe and share! #1 Sports YouTube channel!,False,2022-10-07 22:07:50+00:00,"The @utahjazz are in full rebuild and have one of the worst rosters I have ever seen. That being said, they have so many young assets, what can they do in 2022? 

See here: https://t.co/lhhA293TsE

#utahjazz #TakeNote #Jazz #NBA #NBAPreseason #victorwembenyama #scoothenderson https://t.co/6HrG39xnpT",,Twitter Web App
35,35,JazzNation,"Salt Lake City, UT","Tweets are all about Utah Jazz news, scores, & updates | Fan ran account | All our links can be found in one spot ➡️ https://t.co/Lmt6CjXroU",False,2022-10-07 20:29:51+00:00,"Utah Jazz
2022-23 NBA season preview 
by @johnhollinger (@TheAthleticNBA)

LINK 👉 https://t.co/vEDXgo2DlM

.
#JazzNation #UtahJazz #TakeNote
#GoJazz #NBA https://t.co/aP4542P2no",,Twitter for iPhone
