,id,date,home_team_score,period,postseason,season,status,time,visitor_team_score,home_team.id,home_team.abbreviation,home_team.city,home_team.conference,home_team.division,home_team.full_name,home_team.name,visitor_team.id,visitor_team.abbreviation,visitor_team.city,visitor_team.conference,visitor_team.division,visitor_team.full_name,visitor_team.name
918,554,2019-01-02T00:00:00.000Z,92,4,False,2018,Final, ,117,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,16,MIA,Miami,East,Southeast,Miami Heat,Heat
919,555,2019-01-02T00:00:00.000Z,84,4,False,2018,Final, ,122,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
920,556,2019-01-02T00:00:00.000Z,126,4,False,2018,Final, ,121,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans
921,557,2019-01-02T00:00:00.000Z,114,4,False,2018,Final, ,98,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
922,558,2019-01-02T00:00:00.000Z,115,4,False,2018,Final, ,102,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
923,559,2019-01-02T00:00:00.000Z,94,4,False,2018,Final, ,101,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
924,560,2019-01-02T00:00:00.000Z,84,4,False,2018,Final, ,112,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
925,561,2019-01-02T00:00:00.000Z,127,4,False,2018,Final, ,132,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
926,562,2019-01-02T00:00:00.000Z,100,4,False,2018,Final, ,107,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
927,563,2019-01-03T00:00:00.000Z,125,4,False,2018,Final, ,107,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors
928,564,2019-01-03T00:00:00.000Z,113,4,False,2018,Final, ,117,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
929,565,2019-01-03T00:00:00.000Z,134,4,False,2018,Final, ,135,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
930,566,2019-01-04T00:00:00.000Z,91,4,False,2018,Final, ,117,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
931,567,2019-01-04T00:00:00.000Z,114,4,False,2018,Final, ,93,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
932,568,2019-01-04T00:00:00.000Z,115,4,False,2018,Final, ,109,16,MIA,Miami,East,Southeast,Miami Heat,Heat,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
933,569,2019-01-04T00:00:00.000Z,116,4,False,2018,Final, ,119,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
934,570,2019-01-04T00:00:00.000Z,120,4,False,2018,Final, ,103,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
